title,year,length,budget,rating,mpaa,genres
"Mighty Wind, A",2003,91,NA,7.3,PG-13,comedy
Million Dollar Baby,2004,132,30000000,8.3,PG-13,drama
Millions,2004,98,NA,7.9,PG-13,"drama, comedy"
"Milwaukee, Minnesota",2003,95,NA,6.6,R,drama
Mind the Gap,2004,134,NA,4.5,R,"drama, comedy"
Mindhunters,2004,102,27000000,6.3,R,action
Mindstorm,2001,97,NA,4.2,R,action
Minority Report,2002,145,102000000,7.8,PG-13,"action, drama"
Miracle,2004,135,NA,7.7,PG,drama
Miranda,2002,90,NA,5.7,R,romance
Miss Congeniality 2: Armed and Fabulous,2005,115,NA,5,PG-13,comedy
Modigliani,2004,128,12000000,7,R,drama
Mona Lisa Smile,2003,117,65000000,6.1,PG-13,"drama, comedy, romance"
Mondovino,2004,159,NA,7.2,PG-13,documentary
Monkeybone,2001,92,75000000,4.7,PG-13,"comedy, animation"
Monsieur Ibrahim et les fleurs du Coran,2003,96,NA,7.4,R,drama
Monsoon Wedding,2001,114,NA,7.4,R,"drama, romance"
Monsoon Wife,2004,92,1000000,4.7,R,drama
Monster,2003,109,8000000,7.4,R,drama
Monster's Ball,2001,112,4000000,7.3,R,"drama, romance"
Monster-in-Law,2005,102,60000000,5.6,PG-13,"comedy, romance"
Moonlight Mile,2002,117,20000000,6.9,PG-13,"drama, romance"
Morvern Callar,2002,97,NA,6.3,R,drama
Motives,2004,87,NA,4.5,R,drama
Moulin Rouge!,2001,127,52500000,7.7,PG-13,"drama, romance"
Mr 3000,2004,104,30000000,5.7,PG-13,"drama, comedy"
Mr. Bones,2001,101,NA,3,PG,comedy
Mr. Deeds,2002,96,50000000,5.5,PG-13,"comedy, romance"
Mr. Smith Gets a Hustler,2002,83,NA,4.8,R,drama
Mu Sa Do,2002,93,NA,3.6,R,action
"Mudge Boy, The",2003,94,800000,6.8,R,drama
Mule Skinner Blues,2001,93,NA,6.3,R,documentary
Mulholland Dr.,2001,147,15000000,7.9,R,drama
Mulletville,2002,93,NA,6.6,R,comedy
"Mummy Returns, The",2001,130,98000000,6.1,PG-13,action
"Musketeer, The",2001,104,40000000,4.4,PG-13,"action, drama, romance"
Mutant Aliens,2001,81,200000,6.4,R,"comedy, animation"
My Baby's Daddy,2004,88,NA,3.8,PG-13,comedy
My Big Fat Greek Wedding,2002,95,5000000,6.9,PG,"comedy, romance"
My Boss's Daughter,2003,90,14000000,4.1,R,"comedy, romance"
My First Mister,2001,109,NA,7.2,R,"drama, comedy"
My Life Without Me,2003,107,NA,7.6,R,"drama, romance"
My Name Is Modesty: A Modesty Blaise Adventure,2003,78,NA,4.3,R,drama
My Summer of Love,2004,86,NA,7.3,R,drama
"Mystic Masseur, The",2001,117,2500000,5.2,PG,drama
Mystic River,2003,137,30000000,8,R,drama
"NASCAR 3D: The IMAX Experience",2004,40,NA,7,PG,"documentary, short"
Nailed,2001,90,NA,4.2,R,"drama, romance"
Napoleon Dynamite,2004,86,400000,7.2,PG,comedy
Naqoyqatsi,2002,89,3000000,6.9,PG,documentary
Narc,2002,105,7500000,7.3,R,drama
National Lampoon Presents Dorm Daze,2003,96,NA,4.2,R,comedy
National Security,2003,88,NA,4.6,PG-13,"action, comedy"
National Treasure,2004,131,100000000,6.6,PG,action
"Navigators, The",2001,96,NA,6.8,R,"drama, comedy"
Near Death,2004,95,NA,2.3,R,action
Ned Kelly,2003,110,NA,6.3,R,drama
Never Again,2001,98,500000,5.7,R,"comedy, romance"
Never Die Alone,2004,88,NA,5.1,R,drama
Never Get Outta the Boat,2002,97,NA,4.7,R,drama
New Best Friend,2002,91,NA,5.2,R,drama
"New Guy, The",2002,89,13000000,5.2,PG-13,comedy
New Port South,2001,95,NA,5,PG-13,drama
New Suit,2002,94,NA,5.8,R,comedy
"Next Big Thing, The",2001,87,NA,6,R,"drama, comedy, romance"
Nicholas Nickleby,2002,132,10000000,7.4,PG,drama
Nicotina,2003,90,NA,6.4,R,comedy
Night at the Golden Eagle,2002,87,NA,5.8,R,drama
Nikita Blues,2001,85,NA,3.1,R,drama
Nine Dead Gay Guys,2002,83,NA,6.2,R,comedy
Nirgendwo in Afrika,2001,141,NA,8,R,drama
No Man's Land,2001,98,NA,7.9,R,"drama, comedy"
No Such Thing,2001,102,NA,6.5,R,"drama, comedy"
No Turning Back,2001,101,NA,5.7,R,drama
No somos nadie,2002,93,NA,4.3,R,drama
Nobody Knows Anything!,2003,88,NA,4.4,R,comedy
Nobody's Baby,2001,110,NA,6.2,R,comedy
Nochnoy dozor,2004,115,4200000,6.3,R,action
Noel,2004,96,NA,5.9,PG,drama
Nola,2003,97,NA,5.9,R,"comedy, romance"
Northfork,2003,103,1900000,6.2,PG-13,drama
Not Another Teen Movie,2001,89,16000000,5.2,R,comedy
"Notebook, The",2004,123,30000000,7.8,PG-13,"drama, romance"
November,2004,73,300000,2.8,R,drama
Novo,2002,98,NA,5.9,R,"drama, comedy, romance"
Novocaine,2001,95,6000000,5.9,R,"drama, comedy"
O,2001,95,5000000,6.3,R,"drama, romance"
Ocean's Eleven,2001,116,85000000,7.5,PG-13,comedy
Ocean's Twelve,2004,125,110000000,6,PG-13,comedy
Off the Lip,2004,87,NA,3.8,R,comedy
Off the Map,2003,105,NA,7.6,PG-13,drama
Old School,2003,92,24000000,6.7,R,comedy
Oldboy,2003,120,NA,8.4,R,action
Olive Juice,2001,88,NA,5.4,PG-13,"comedy, romance"
On the Borderline,2001,93,NA,5.5,R,drama
On the Line,2001,85,10000000,4.1,PG,"comedy, romance"
Once Upon a Time in Mexico,2003,102,29000000,6,R,action
Once Upon a Time in the Midlands,2002,104,NA,5.7,R,drama
One Eyed King,2001,105,6500000,5.1,R,drama
One Hell of a Christmas,2002,94,400000,2.7,R,comedy
One Hour Photo,2002,96,12000000,7.1,R,drama
One Night at McCool's,2001,93,NA,6.2,R,comedy
Ong-bak,2003,101,NA,7.2,R,action
Only the Strong Survive,2002,95,NA,6.6,PG-13,documentary
Onmyoji,2001,116,NA,6.1,R,"action, drama"
Open Range,2003,139,26000000,7.5,R,drama
Open Water,2003,79,130000,6.1,R,drama
Operation Balikatan,2003,91,NA,2.3,R,action
Operation Delta Force 4: Deep Fault,2001,96,NA,3.7,R,action
Orange County,2002,82,18000000,6.1,PG-13,"drama, comedy"
"Order, The",2001,89,NA,4.1,R,"action, drama"
"Original Latin Kings of Comedy, The",2002,86,NA,7.1,R,comedy
Original Sin,2001,116,26000000,5.5,R,"drama, romance"
Osama,2003,83,46000,7.5,PG-13,drama
Osmosis Jones,2001,95,75000000,6.2,PG,"comedy, animation"
"Other Brother, The",2002,94,NA,3.7,R,"drama, comedy"
"Other Side of Heaven, The",2001,113,7000000,6.5,PG,drama
"Others, The",2001,104,17000000,7.8,PG-13,drama
"Otro lado de la cama, El",2002,114,NA,6.9,R,"drama, comedy, romance"
Out Cold,2001,92,11000000,5.2,PG-13,comedy
Out for Blood,2004,95,NA,4,R,action
Out for a Kill,2003,88,20000000,3,R,action
Out of Line,2001,96,NA,4.9,R,"action, drama"
Out of Reach,2004,88,20000000,3.7,R,"action, drama, romance"
Out of Step,2002,90,NA,6.7,PG,drama
Outta Time,2002,94,NA,3.5,R,action
Overnight,2003,82,NA,7.5,R,documentary
Owning Mahowny,2003,104,10000000,7,R,drama
P.S.,2004,97,NA,6.3,R,"drama, comedy, romance"
P.S. Your Cat Is Dead,2002,88,2000000,4.7,R,comedy
"Pacifier, The",2005,95,56000000,4.9,PG,"action, comedy"
"Pacte des loups, Le",2001,152,NA,7,R,action
Paid in Full,2002,97,NA,6.1,R,"action, drama"
Panic,2001,91,NA,4.3,R,"action, drama"
Panic Room,2002,113,48000000,7,R,drama
Paparazzi,2004,84,20000000,5.6,PG-13,drama
Paper Soldiers,2002,88,NA,5.1,R,"action, comedy"
"Parole Officer, The",2001,93,NA,6.3,R,comedy
Party Monster,2003,98,5000000,5.8,R,drama
"Passion of the Christ, The",2004,127,30000000,7.4,R,drama
Passionada,2002,108,NA,6.1,PG-13,"drama, comedy, romance"
Pauline & Paulette,2001,106,NA,6.8,PG,"drama, comedy"
Pauly Shore Is Dead,2003,82,NA,5,R,comedy
Pavilion of Women,2001,111,5000000,5.3,R,drama
Paycheck,2003,119,60000000,6.1,PG-13,action
Pearl Harbor,2001,184,135250000,5.4,R,"action, drama, romance"
People I Know,2002,100,NA,5.5,R,"drama, romance"
"Perfect Score, The",2004,93,NA,5,PG-13,comedy
Perfect Strangers,2003,96,NA,5.2,PG-13,drama
"Perfect You, The",2002,90,NA,5.6,R,"comedy, romance"
Perfume,2001,106,NA,4.2,R,drama
Personal Velocity: Three Portraits,2002,86,NA,6.5,R,drama
Peter Pan,2003,113,100000000,7.2,PG,action
"Phantom of the Opera, The",2004,143,60000000,7.2,PG-13,"drama, romance"
Phase IV,2001,103,NA,4.9,R,"action, drama"
"Pianist, The",2002,150,35000000,8.5,R,drama
"Pianiste, La",2001,130,NA,7.2,R,drama
Pieces of April,2003,80,300000,7.3,PG-13,"drama, comedy"
Pipe Dream,2002,91,NA,6.3,R,"comedy, romance"
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,125000000,8,PG-13,"action, comedy"
"Placard, Le",2001,84,NA,7.1,R,comedy
Planet of the Apes,2001,119,100000000,5.6,PG-13,action
"Pledge, The",2001,123,45000000,6.9,R,drama
Plots with a View,2002,94,NA,6.5,R,"comedy, romance"
"Point Men, The",2001,88,6100000,4.6,R,action
Poolhall Junkies,2002,94,4000000,6.6,R,drama
Pootie Tang,2001,70,3000000,4.1,PG-13,"action, comedy"
Porn Star: The Legend of Ron Jeremy,2001,80,NA,6.6,R,documentary
Posers,2002,80,NA,4.1,R,drama
Power Play,2002,100,NA,3.6,R,action
"Powerpuff Girls, The",2002,73,10000000,6.2,PG,"action, comedy, animation"
Pressure Point,2001,90,NA,4.6,PG-13,action
Pretty When You Cry,2001,90,NA,4.1,R,drama
Prey for Rock & Roll,2003,104,NA,6.2,R,drama
Pride and Prejudice,2003,104,NA,5.8,PG,"comedy, romance"
Primer,2004,77,7000,6.4,PG-13,drama
"Prince & Me, The",2004,111,NA,5.6,PG,"comedy, romance"
"Proposal, The",2001,87,NA,5.3,R,drama
Prozac Nation,2001,99,9000000,6.2,R,drama
Pumpkin,2002,113,NA,6.2,R,"drama, comedy, romance"
Punch,2002,90,NA,6.5,R,drama
Punch-Drunk Love,2002,95,25000000,7.5,R,"drama, comedy, romance"
"Punisher, The",2004,124,33000000,6.2,R,action
Punto y aparte,2002,90,NA,4.8,R,drama
Purpose,2002,96,NA,5.2,R,drama
Qianxi manbo,2001,120,NA,6.3,R,drama
Queen's Messenger II,2001,90,4000000,6,R,action
"Quest, The",2003,80,NA,7.3,R,documentary
"Quickie, The",2001,99,NA,5.4,R,drama
"Quiet American, The",2002,101,30000000,7.4,R,"drama, romance"
R.I.C.C.O.,2002,104,NA,5.6,R,action
"R.M., The",2003,101,500000,5.3,PG,comedy
Rabbit-Proof Fence,2002,94,6000000,7.7,PG,drama
Race to Space,2001,104,NA,5.5,PG,drama
Rachel's Attic,2002,112,83000,2.4,R,"action, drama"
Racing Stripes,2005,84,NA,4.8,PG,"comedy, animation"
Radio,2003,109,35000000,6.9,PG,drama
Raise Your Voice,2004,103,15000000,4.3,PG,"drama, romance"
Raising Helen,2004,119,NA,5.7,PG-13,"drama, comedy"
Raising Victor Vargas,2002,88,800000,6.7,R,"drama, comedy, romance"
Rare Birds,2001,99,5000000,6.4,R,"drama, comedy"
Rat Race,2001,112,48000000,6.5,PG-13,comedy
"Real Cancun, The",2003,96,8000000,2.8,R,documentary
Real Women Have Curves,2002,87,3000000,7,PG-13,"drama, comedy"
"Reckoning, The",2003,112,NA,6.3,R,drama
Reconstruction,2003,90,NA,7.1,PG-13,"drama, romance"
Red Betsy,2003,98,NA,7.1,PG,"drama, romance"
Red Trousers: The Life of the Hong Kong Stuntmen,2003,93,NA,5.7,R,"action, short"
Reign of Fire,2002,101,95000000,5.8,PG-13,action
Rennie's Landing,2001,103,NA,4.8,R,drama
Repli-Kate,2002,121,4000000,5.6,R,comedy
Replicant,2001,95,NA,4.9,R,action
Resident Evil,2002,100,35000000,6.2,R,action
Resident Evil: Apocalypse,2004,94,50000000,5.6,R,action
Respiro,2002,90,NA,6.9,PG-13,"drama, comedy"
Retrograde,2004,93,NA,3,R,action
Returner,2002,116,NA,6.7,R,action
Returning Mickey Stern,2002,92,NA,3.7,PG-13,comedy
Revelation,2001,111,NA,4.6,R,drama
Rhinoceros Eyes,2003,92,NA,7.1,R,drama
Rick,2003,100,NA,6.3,R,drama
Ricordati di me,2003,125,NA,6.3,R,"drama, comedy, romance"
Ride or Die,2003,88,NA,3.9,R,"action, romance"
Riders,2002,83,15000000,5.1,R,action
Riding Giants,2004,105,NA,7.7,PG-13,documentary
Riding in Cars with Boys,2001,132,48000000,6.2,PG-13,"drama, comedy"
"Ring Two, The",2005,110,NA,5.1,PG-13,drama
"Ring, The",2002,115,45000000,7.4,PG-13,drama
Ripley's Game,2002,112,30000000,6.6,R,drama
"Rising Place, The",2001,93,NA,5,PG-13,drama
Road Dogs,2003,90,NA,5.7,R,drama
"Road Home, The",2003,104,NA,2.6,PG-13,"action, drama"
Road to Perdition,2002,117,80000000,7.7,R,drama
Road to Redemption,2001,89,NA,4.9,PG,"action, comedy"
Robots,2005,91,75000000,6.4,PG,"comedy, animation"
Rock School,2005,93,NA,5.3,R,documentary
Rock Star,2001,105,38000000,5.8,R,"drama, comedy"
Rocky Road,2001,90,NA,4.2,PG-13,drama
Roger Dodger,2002,106,NA,7.3,R,"drama, comedy"
Rokugatsu no hebi,2002,77,NA,6.9,R,drama
Rollerball,2002,97,70000000,2.8,R,action
Rolling Kansas,2003,89,NA,6.2,R,comedy
"Room, The",2003,99,6000000,2.7,R,"drama, comedy, romance"
Rosenstrasse,2003,136,NA,6.7,PG-13,drama
Route 666,2001,86,2300000,4,R,action
"Royal Tenenbaums, The",2001,111,21000000,7.6,R,"drama, comedy"
Ruang rak noi nid mahasan,2003,112,NA,7.9,R,"drama, romance"
Rub & Tug,2002,90,NA,5,R,comedy
Rude Boy: The Jamaican Don,2003,90,NA,2.8,R,action
Rugrats Go Wild!,2003,81,25000000,4.8,PG,"comedy, animation"
"Rules of Attraction, The",2002,110,4000000,6.7,R,"drama, comedy, romance"
Run Ronnie Run,2002,100,NA,6.3,R,comedy
Run for the Money,2002,116,NA,4.6,R,action
Runaway Jury,2003,127,60000000,7.1,PG-13,drama
"Rundown, The",2003,104,85000000,6.5,PG-13,"action, comedy"
Rush Hour 2,2001,86,90000000,6.5,PG-13,"action, comedy"
Russian Doll,2001,90,NA,5.9,R,"comedy, romance"
S Club Seeing Double,2003,91,NA,2.7,PG-13,"drama, comedy"
S.W.A.T.,2003,117,80000000,5.9,PG-13,action
S1m0ne,2002,117,NA,6.3,PG-13,"drama, comedy"
Sabretooth,2002,90,NA,3,R,action
"Saddest Music in the World, The",2003,99,NA,7.1,R,"drama, romance"
"Safety of Objects, The",2001,116,NA,6.6,R,drama
Sahara,2005,124,130000000,5.8,PG-13,"action, comedy"
Saint Ange,2004,98,NA,5.6,R,drama
Saint Ralph,2004,98,NA,7.8,PG-13,"drama, comedy"
Saints and Soldiers,2003,90,780000,6.9,PG-13,"action, drama"
"Salton Sea, The",2002,107,18000000,7.2,R,drama
Sam & Janet,2002,90,NA,3.7,PG-13,"drama, comedy, romance"
Samaria,2004,95,NA,7.3,R,drama
Samsara,2001,138,3000000,7.6,R,"action, drama, romance"
Savage Messiah,2002,94,NA,6.4,R,drama
Save the Last Dance,2001,112,13000000,6.1,PG-13,"drama, romance"
Saved!,2004,92,5000000,7.1,PG-13,"drama, comedy"
Saving Face,2004,91,NA,5.9,R,"drama, comedy, romance"
Saving Silverman,2001,96,22000000,5.4,R,"comedy, romance"
Say It Isn't So,2001,93,25000000,4.6,R,"comedy, romance"
Scary Movie 2,2001,83,45000000,4.2,R,comedy
Scary Movie 3,2003,84,45000000,5.3,PG-13,comedy
Scenes of the Crime,2001,81,NA,5.7,R,"action, drama"
"School of Rock, The",2003,108,20000000,7.4,PG-13,comedy
Schultze Gets the Blues,2003,114,NA,7.4,PG,"drama, comedy"
Sci-Fighter,2004,90,NA,3.7,PG-13,action
Scooby Doo 2: Monsters Unleashed,2004,93,NA,4.7,PG,comedy
Scooby-Doo,2002,86,84000000,4.8,PG,comedy
Scorcher,2002,91,NA,3.7,R,"action, drama"
"Score, The",2001,124,68000000,6.8,R,drama
"Scorpion King, The",2002,92,60000000,5.3,PG-13,action
"Scotland, Pa.",2001,104,NA,6.8,R,comedy
"Scoundrel's Wife, The",2002,95,NA,6.7,R,"drama, romance"
"Sea, The",2003,30,NA,7.6,R,short
Seabiscuit,2003,141,86000000,7.5,PG-13,drama
Searching for Debra Winger,2002,97,600000,5.6,R,documentary
Secondhand Lions,2003,120,30000000,7.4,PG,"drama, comedy"
"Secret Lives of Dentists, The",2002,105,NA,6.5,R,drama
Secret Window,2004,96,40000000,6.3,PG-13,drama
Secretary,2002,104,NA,7.2,R,"drama, comedy, romance"
See Spot Run,2001,94,16000000,5,PG,comedy
Seed of Chucky,2004,87,12000000,5.1,R,comedy
Seeing Other People,2004,90,NA,6.1,R,comedy
Sen to Chihiro no kamikakushi,2001,125,NA,8.6,PG,"drama, animation"
Sennen joyu,2001,87,NA,8,PG,"drama, comedy, romance, animation"
Sensual Friends,2001,93,NA,3.7,R,drama
September Tapes,2004,95,NA,6.1,R,drama
Serendipity,2001,90,28000000,6.6,PG-13,"comedy, romance"
Serial Killing 4 Dummys,2004,83,NA,4.7,R,comedy
Series 7: The Contenders,2001,86,NA,6.7,R,"drama, comedy"
Serving Sara,2002,99,29000000,4.6,PG-13,"comedy, romance"
Session 9,2001,97,1500000,6.6,R,drama
Sex Is Comedy,2002,94,NA,6,R,"drama, comedy, romance"
Shade,2003,101,6800000,6.5,R,drama
Shadow Fury,2001,89,NA,3.1,R,action
Shall We Dance,2004,106,40000000,6,PG-13,"drama, comedy, romance"
Shallow Hal,2001,113,40000000,6.1,PG-13,"drama, comedy, romance"
Shanghai Knights,2003,114,50000000,6.3,PG-13,"action, comedy"
"Shape of Things, The",2003,96,4000000,6.9,R,drama
Shark Hunter,2001,94,NA,3.1,R,action
Shark Tale,2004,90,75000000,5.9,PG,"action, comedy, animation"
Shattered Glass,2003,95,6000000,7.5,PG-13,drama
Shattered Lies,2002,95,NA,3.2,R,action
Shaun of the Dead,2004,99,4000000,7.9,R,comedy
She Hate Me,2004,138,NA,4.6,R,"drama, comedy"
Shi mian mai fu,2004,118,NA,7.6,PG-13,"action, drama, romance"
"Shipment, The",2001,92,NA,3.4,R,comedy
"Shipping News, The",2001,111,35000000,6.9,R,"drama, romance"
Shiqi sui de dan che,2001,113,NA,7.4,PG-13,drama
Showtime,2002,96,85000000,5.5,PG-13,"action, comedy"
Shrek,2001,90,60000000,8,PG,"comedy, romance, animation"
Shrek 2,2004,92,75000000,7.8,PG,"comedy, animation"
"Shrink Is In, The",2001,87,6000000,4.9,R,"comedy, romance"
Shu shan zheng zhuan,2001,104,NA,5.9,PG-13,action
Shura Yukihime,2001,93,NA,5.8,R,action
Shutter,2001,24,15000,3.5,R,short
Sidewalks of New York,2001,108,1000000,6.5,R,"comedy, romance"
Sideways,2004,123,16000000,8,R,"drama, comedy"
Signs,2002,108,72000000,7.1,PG-13,drama
Silver City,2004,129,NA,6.4,R,drama
Sin City,2005,124,45500000,8.3,R,action
Sin noticias de Dios,2001,112,NA,6.6,R,comedy
Sinbad: Legend of the Seven Seas,2003,86,60000000,6.5,PG,animation
"Singing Detective, The",2003,109,10000000,5.3,R,"drama, comedy"
"Singles Ward, The",2002,102,500000,5.7,PG,"drama, comedy, romance"
Siu lam juk kau,2001,89,NA,7.3,PG-13,"action, comedy"
Sixteen Years of Alcohol,2003,102,NA,5.4,R,drama
Skin Deep,2003,89,400000,3.8,R,"action, drama, comedy"
Skins,2002,84,NA,6.6,R,drama
Skippy,2001,90,NA,3.5,PG,"comedy, romance"
Sky Captain and the World of Tomorrow,2004,106,40000000,6.5,PG,action
Slackers,2002,86,11000000,4.7,R,comedy
Slap Her... She's French,2002,92,10000000,4.7,PG-13,comedy
"Slaughter Rule, The",2002,112,500000,6,R,drama
"Sleeping Dictionary, The",2003,109,12000000,6.1,R,"drama, romance"
Sleepover,2004,89,10000000,4.1,PG,comedy
"Sleepy Time Gal, The",2001,94,NA,6,R,drama
Smile,2005,107,NA,4.9,PG-13,drama
Snake Island,2002,90,NA,2.9,R,action
Snipes,2001,113,NA,5.7,R,drama
Snow Dogs,2002,99,35000000,5.1,PG,comedy
"Snow Walker, The",2003,103,NA,7.5,PG,drama
Soccer Dog: European Cup,2004,88,NA,4.8,PG,comedy
Sol Goode,2001,99,3000000,5.4,R,comedy
Solaris,2002,99,47000000,6.3,PG-13,"drama, romance"
Someone Like You...,2001,97,23000000,5.7,PG-13,"comedy, romance"
Something's Gotta Give,2003,128,NA,6.8,PG-13,"drama, comedy, romance"
Son de mar,2001,96,NA,5.8,R,"drama, romance"
Son of the Mask,2005,94,74000000,1.9,PG,"action, comedy"
Sonny,2002,110,NA,5.5,R,drama
Sons of Provo,2004,93,200000,4.3,PG,comedy
Sorority Boys,2002,93,12000000,5.1,R,comedy
Soul Assassin,2001,96,7000000,4,R,action
Soul Plane,2004,92,16000000,3.2,R,comedy
Soulkeeper,2001,105,NA,4.8,R,"action, comedy"
Spanglish,2004,130,80000000,6.7,PG-13,"drama, comedy, romance"
Spartan,2004,106,NA,6.9,R,drama
Spectres,2004,98,NA,5,PG-13,drama
Speed Demon,2003,85,NA,2.6,R,action
Spider,2002,94,8000000,6.8,R,drama
Spider's Web,2001,88,NA,3.7,R,romance
Spider-Man,2002,121,139000000,7.4,PG-13,action
Spider-Man 2,2004,127,200000000,7.9,PG-13,action
Spinning Boris,2003,112,NA,6.8,R,"drama, comedy"
"SpongeBob SquarePants Movie, The",2004,90,30000000,6.5,PG,"comedy, animation"
Spun,2002,106,2800000,6.2,R,"drama, comedy"
Spy Game,2001,126,92000000,7,R,"action, drama"
Spy Kids 2: Island of Lost Dreams,2002,99,39000000,5.8,PG,"action, comedy"
Spy Kids 3-D: Game Over,2003,84,39000000,4.7,PG,"action, comedy"
Stage Beauty,2004,110,NA,7.3,R,drama
Standard Time,2002,102,NA,5.8,PG-13,romance
Stander,2003,111,NA,7.2,R,"action, drama"
Standing in the Shadows of Motown,2002,108,NA,7.7,PG,documentary
"Stanza del figlio, La",2001,99,NA,7.4,R,drama
Star Trek: Nemesis,2002,116,70000000,6.5,PG-13,"action, drama"
Star Wars: Episode II - Attack of the Clones,2002,120,120000000,7,PG,action
Stark Raving Mad,2002,102,5000000,6.2,R,comedy
Starkweather,2004,92,1000000,4.6,R,drama
Starsky & Hutch,2004,101,60000000,6.3,PG-13,"action, comedy"
Startup.com,2001,105,NA,7.2,R,documentary
State Property,2002,88,NA,2.7,R,"action, drama"
State Property 2,2005,94,NA,3.7,R,"action, drama"
"Statement, The",2003,120,23000000,6.1,R,drama
Stateside,2004,97,16000000,5.4,R,drama
"Station Agent, The",2003,88,500000,8.1,R,drama
Stealing Harvard,2002,82,25000000,4.7,PG-13,"drama, comedy"
Stealing Sinatra,2003,96,NA,5.5,R,"drama, comedy"
Steamboy,2004,126,20000000,6.6,PG-13,"action, drama, animation"
Step Into Liquid,2003,88,NA,7.3,PG,documentary
"Stepford Wives, The",2004,93,90000000,5.3,PG-13,"drama, comedy"
Stevie,2002,140,NA,8.2,R,documentary
Stickmen,2001,98,NA,6.6,R,drama
"Stickup, The",2001,94,NA,6.2,R,action
Stoked: The Rise and Fall of Gator,2002,82,NA,7.2,R,documentary
Stolen Summer,2002,91,1500000,6.2,PG,drama
Stone Reader,2002,127,NA,7.4,PG-13,"drama, documentary"
Storm Watch,2002,100,NA,5.2,R,action
Storytelling,2001,87,NA,6.7,R,"drama, comedy"
Strange Bedfellows,2004,100,NA,6,R,comedy
Strange Hearts,2001,90,NA,5.5,R,"drama, comedy"
Strictly Sinatra,2001,97,NA,6.2,R,"drama, romance"
Stuart Little 2,2002,82,120000000,5.9,PG,comedy
Stuey,2003,110,NA,6,R,drama
Styx,2001,93,NA,4.4,R,action
Sucker Punch,2003,90,NA,3.4,R,"drama, comedy"
Suddenly Naked,2001,105,NA,5.7,R,"drama, romance"
Sugar & Spice,2001,84,11000000,5.3,PG-13,comedy
"Sum of All Fears, The",2002,123,68000000,6.6,PG-13,"action, drama"
Summer Catch,2001,105,17000000,4.5,PG-13,"comedy, romance"
Sunshine State,2002,141,5600000,7,PG-13,drama
Super Size Me,2004,100,300000,7.7,PG-13,documentary
Super Sucker,2002,93,NA,4.3,R,comedy
Super Troopers,2001,100,3000000,6.3,R,comedy
SuperBabies: Baby Geniuses 2,2004,88,NA,1.8,PG,comedy
Suriyothai,2001,142,NA,6.7,R,"action, drama"
Surviving Christmas,2004,91,NA,4.5,PG-13,comedy
Survivors Exposed,2001,93,NA,5.5,R,comedy
Suspect Zero,2004,99,27000000,5.7,R,drama
"Sweatbox, The",2002,86,NA,7.1,PG-13,documentary
Sweet Home Alabama,2002,108,38000000,5.8,PG-13,"drama, comedy, romance"
Sweet November,2001,115,40000000,5.5,PG-13,"drama, comedy, romance"
"Sweetest Thing, The",2002,90,43000000,4.7,R,"comedy, romance"
Swept Away,2002,89,10000000,3.8,R,"comedy, romance"
Swimfan,2002,85,8500000,4.5,PG-13,drama
Swimming Pool,2003,103,NA,6.9,R,drama
Swimming Upstream,2003,105,NA,7.5,PG-13,drama
Swordfish,2001,99,80000000,6.2,R,action
Sylvia,2003,110,NA,6.1,R,"drama, romance"
Tadpole,2002,78,150000,6.3,PG-13,"drama, comedy, romance"
Taegukgi hwinalrimyeo,2004,140,12800000,8.5,R,"action, drama"
Tail Sting,2001,97,NA,2.2,R,action
"Tailor of Panama, The",2001,109,18000000,6.1,R,"drama, comedy"
Taking Lives,2004,109,NA,5.7,R,drama
"Tale of Two Sisters, A",2004,15,NA,8,R,"drama, short"
Tape,2001,86,NA,7.2,R,drama
"Taqueria, La",2003,82,NA,6.3,R,comedy
Target,2004,84,NA,2.4,R,action
Target of Opportunity,2004,90,NA,6.5,R,"action, drama"
Tart,2001,94,3300000,4.6,R,drama
Teacher's Pet,2004,74,10000000,5.6,PG,"comedy, animation"
Team America: World Police,2004,98,30000000,7.3,R,"action, comedy"
Tears of the Sun,2003,121,70000000,6.2,R,"action, drama"
Ted Bundy,2002,99,1200000,5.2,R,drama
Teddy Bears' Picnic,2002,80,NA,3.4,R,comedy
Teknolust,2002,85,NA,5.1,R,"drama, romance"
Tell Them Who You Are,2004,95,NA,6.7,R,documentary
Tempo,2003,85,NA,4.7,R,romance
"Temps du loup, Le",2003,114,NA,6.4,R,drama
Ten Tiny Love Stories,2001,96,NA,5.9,R,drama
"Terminal, The",2004,128,60000000,7.1,PG-13,"drama, comedy, romance"
Terminator 3: Rise of the Machines,2003,109,175000000,6.9,R,action
"Tesseract, The",2003,96,NA,5.2,R,"action, drama"
Testosterone,2003,105,NA,5.4,R,drama
Texas,2002,78,NA,6.6,R,documentary
Texas 46,2002,96,NA,5.1,R,drama
"Texas Chainsaw Massacre, The",2003,98,9200000,5.9,R,action
Texas Rangers,2001,86,38000000,5.1,PG-13,drama
Things Behind the Sun,2001,120,NA,7.5,R,drama
Thir13en Ghosts,2001,87,20000000,5.1,R,comedy
"Third Society, The",2002,84,NA,4.4,R,"action, comedy"
Thirteen,2003,100,1500000,7.1,R,drama
Thirteen Conversations About One Thing,2001,104,3000000,7.2,R,drama
This Girl's Life,2003,104,NA,6.3,R,drama
